% ____________________________________________________________________
%         
%                       Data Diskette for
%                   CASE STUDIES IN BIOMETRY
% 
% By Nicholas Lange, Louise Ryan and Lynne Brillard, David Brillinger,
% Loveday Conquest, Joel Greenhouse.
% 
% Published by John Wiley & Sons, Inc., copyright 1994.  
% ____________________________________________________________________
% 
% You have obtained all of the data used by all of the authors in the
% twenty-one chapters of Case Studies in Biometry.  
% 
% Each chapter contains either one or two data sets, except for Chapter 19,
% which has seven data sets. Corresponding to each data set are ASCII files
% with extensions ".dat" (the data), ".txt" (the data description file), and 
% ".sas" (a simple SAS program to read the .dat file). 
% 
% For chapters containing only one data set, the file name prefix is 
% "ch" followed by chapter number, and then the above extensions.
% For instance, for Chapter 2 you will find files "ch2.dat",
% "ch2.txt", and "ch2.sas".
% 
% For chapters containing two data sets, the letters "a" and "b" are
% added after the chapter number. For instance, for Chapter 1, you will
% find the files "ch1a.dat", "ch1a.txt", "ch1a.sas", "ch1b.dat",
% "ch1b.txt", "ch1b.sas".
% 
% For chapter 19, there are seven data sets, ch19a.dat
% through ch19g.dat.  Each one has the same format, but
% refers to different subsets of the whole data
% set.  Details are given in the single text file, ch19.txt.
% 
% Please note permissions and usage information included in
% the .txt file for each subset.
% _______________________________________________________________
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File: ch9.dat
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File specific Information:
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% CASE STUDIES IN BIOMETRY: Chapter 9.
% 
% Spatial Association Learning in Hummingbirds
% 
% Jinko Graham, A. John Petkau
% 
% The file ch9.dat contains the following variables:
% 
% BIRD   : Bird id. 
% RX     : 1=NT, 2=PT, 3=FT, standing for "No Tape" (NT), in which no visible
%          guides connected light cues
%          with the feeders below them; "Partial Tape" (PT), in which fluorescent
%          orange Dymo type provided a discontinuous (i.e., broken in two places) 
%          connection between each light cue and its feeder; and "Full Tape"
%          (FT), in which the visible guide between each light cue and
%          its feeder (fluorescent orange Dymo tape) was continuous.
%          Feeding continued for 180 trials.
% GENDER : 0=male, 1=female. 
% OUTCOME: 0=failure 1= success.
% 
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation csb-ch9

@attribute BIRD INTEGER
@attribute RX INTEGER
@attribute GENDER {0,1}
@attribute OUTCOME {0,1}

@data
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,1
9,2,1,1
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,1
9,2,1,0
9,2,1,0
9,2,1,0
9,2,1,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,1
10,2,0,1
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,1
10,2,0,0
10,2,0,0
10,2,0,0
10,2,0,1
10,2,0,1
10,2,0,0
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,1
11,2,0,1
11,2,0,0
11,2,0,0
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,1
11,2,0,0
11,2,0,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,0
12,2,1,0
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,1
12,2,1,0
12,2,1,1
12,2,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,0
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,1
13,3,1,0
13,3,1,1
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,1
14,3,1,0
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,0
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,0
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,0
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,0
14,3,1,0
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,1
14,3,1,0
14,3,1,1
14,3,1,1
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,1
15,3,0,0
15,3,0,1
15,3,0,1
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,1
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,1
15,3,0,0
15,3,0,0
15,3,0,1
15,3,0,0
15,3,0,0
15,3,0,1
15,3,0,1
15,3,0,0
15,3,0,1
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,1
15,3,0,0
15,3,0,1
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,0
15,3,0,1
15,3,0,1
15,3,0,0
15,3,0,0
15,3,0,1
15,3,0,1
15,3,0,0
15,3,0,0
15,3,0,1
15,3,0,0
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,0
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,0
15,3,0,0
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,0
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,0
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,0
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,0
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
15,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,1
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,1
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,1
16,3,0,1
16,3,0,1
16,3,0,0
16,3,0,0
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,1
16,3,0,1
16,3,0,0
16,3,0,1
16,3,0,1
17,3,0,0
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,0
17,3,0,0
17,3,0,0
17,3,0,0
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,0
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,0
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,0
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
17,3,0,1
